"chr","startwin","endwin","Nb_SNPs_Win","Prop_Win_Total","NbSNPWinPvalueInf05","NbSNPWinPvalueInf01","NbSNPWinPvalueInf001","SNPswithoutpvalues","PropSNPWinPvalueInf05","PropSNPWinPvalueInf01","PropSNPWinPvalueInf001"
0,30000001,3.1e+07,6,0.000131616469607564,0,0,0,0,0,0,0
0,31000001,3.2e+07,57,0.00125035646127185,5,4,0,5,0.0961538461538462,0.0769230769230769,0
0,32000001,3.3e+07,1,2.19360782679273e-05,0,0,0,0,0,0,0
0,33000001,3.4e+07,2,4.38721565358545e-05,0,0,0,1,0,0,0
0,34000001,3.5e+07,3,6.58082348037818e-05,1,0,0,1,0.5,0,0
0,35000001,3.6e+07,1,2.19360782679273e-05,0,0,0,0,0,0,0
0,36000001,3.7e+07,6,0.000131616469607564,1,1,1,1,0.2,0.2,0.2
0,37000001,3.8e+07,34,0.000745826661109527,3,2,2,2,0.09375,0.0625,0.0625
0,38000001,3.9e+07,0,0,0,0,0,0,0,0,0
0,39000001,4e+07,1,2.19360782679273e-05,0,0,0,1,0,0,0
0,40000001,4.1e+07,1,2.19360782679273e-05,0,0,0,1,0,0,0
0,41000001,4.2e+07,0,0,0,0,0,0,0,0,0
0,42000001,4.3e+07,0,0,0,0,0,0,0,0,0
0,43000001,4.4e+07,0,0,0,0,0,0,0,0,0
0,44000001,4.5e+07,2,4.38721565358545e-05,0,0,0,0,0,0,0
0,45000001,4.6e+07,0,0,0,0,0,0,0,0,0
0,46000001,4.7e+07,0,0,0,0,0,0,0,0,0
0,47000001,4.8e+07,0,0,0,0,0,0,0,0,0
0,48000001,4.9e+07,0,0,0,0,0,0,0,0,0
0,49000001,5e+07,1,2.19360782679273e-05,0,0,0,0,0,0,0
1,1,1e+06,46,0.00100905960032465,0,0,0,3,0,0,0
1,1000001,2e+06,48,0.00105293175686051,5,1,0,2,0.108695652173913,0.0217391304347826,0
1,2000001,3e+06,33,0.0007238905828416,1,0,0,2,0.032258064516129,0,0
1,3000001,4e+06,20,0.000438721565358545,2,0,0,1,0.105263157894737,0,0
1,4000001,5e+06,64,0.00140390900914734,6,3,1,2,0.0967741935483871,0.0483870967741935,0.0161290322580645
1,5000001,6e+06,39,0.000855507052449163,3,2,0,2,0.0810810810810811,0.0540540540540541,0
1,6000001,7e+06,72,0.00157939763529076,2,0,0,7,0.0307692307692308,0,0
1,7000001,8e+06,4,8.7744313071709e-05,0,0,0,0,0,0,0
1,8000001,9e+06,32,0.000701954504573672,2,2,2,1,0.0645161290322581,0.0645161290322581,0.0645161290322581
1,9000001,1e+07,18,0.000394849408822691,2,1,0,2,0.125,0.0625,0
1,10000001,1.1e+07,52,0.00114067606993222,6,2,0,3,0.122448979591837,0.0408163265306122,0
1,11000001,1.2e+07,22,0.0004825937218944,2,0,0,0,0.0909090909090909,0,0
1,12000001,1.3e+07,51,0.00111873999166429,8,4,2,0,0.156862745098039,0.0784313725490196,0.0392156862745098
1,13000001,1.4e+07,51,0.00111873999166429,1,0,0,2,0.0204081632653061,0,0
1,14000001,1.5e+07,34,0.000745826661109527,3,1,0,1,0.0909090909090909,0.0303030303030303,0
1,15000001,1.6e+07,16,0.000350977252286836,0,0,0,1,0,0,0
1,16000001,1.7e+07,34,0.000745826661109527,1,1,1,2,0.03125,0.03125,0.03125
1,17000001,1.8e+07,60,0.00131616469607564,14,6,0,4,0.25,0.107142857142857,0
1,18000001,1.9e+07,37,0.000811634895913309,3,1,0,1,0.0833333333333333,0.0277777777777778,0
1,19000001,2e+07,79,0.00173295018316625,4,1,1,10,0.0579710144927536,0.0144927536231884,0.0144927536231884
1,20000001,2.1e+07,39,0.000855507052449163,5,2,0,3,0.138888888888889,0.0555555555555556,0
1,21000001,2.2e+07,35,0.000767762739377454,6,1,1,1,0.176470588235294,0.0294117647058824,0.0294117647058824
1,22000001,2.3e+07,20,0.000438721565358545,3,0,0,1,0.157894736842105,0,0
1,23000001,2.4e+07,34,0.000745826661109527,2,2,0,2,0.0625,0.0625,0
1,24000001,2.5e+07,67,0.00146971724395113,3,0,0,13,0.0555555555555556,0,0
1,25000001,2.6e+07,106,0.00232522429640029,11,4,1,13,0.118279569892473,0.043010752688172,0.010752688172043
1,26000001,2.7e+07,11,0.0002412968609472,0,0,0,2,0,0,0
1,27000001,2.8e+07,25,0.000548401956698182,2,0,0,5,0.1,0,0
1,28000001,2.9e+07,17,0.000372913330554763,0,0,0,1,0,0,0
1,29000001,3e+07,22,0.0004825937218944,1,0,0,1,0.0476190476190476,0,0
1,30000001,3.1e+07,40,0.00087744313071709,2,1,1,3,0.0540540540540541,0.027027027027027,0.027027027027027
1,31000001,3.2e+07,16,0.000350977252286836,1,0,0,2,0.0714285714285714,0,0
1,32000001,3.3e+07,31,0.000680018426305745,4,3,0,3,0.142857142857143,0.107142857142857,0
1,33000001,3.4e+07,57,0.00125035646127185,4,3,0,5,0.0769230769230769,0.0576923076923077,0
1,34000001,3.5e+07,50,0.00109680391339636,4,1,0,1,0.0816326530612245,0.0204081632653061,0
1,35000001,3.6e+07,49,0.00107486783512844,4,1,0,2,0.0851063829787234,0.0212765957446809,0
1,36000001,3.7e+07,44,0.000965187443788799,1,0,0,1,0.0232558139534884,0,0
1,37000001,3.8e+07,68,0.00149165332221905,9,7,1,5,0.142857142857143,0.111111111111111,0.0158730158730159
1,38000001,3.9e+07,125,0.00274200978349091,9,1,0,7,0.076271186440678,0.00847457627118644,0
1,39000001,4e+07,59,0.00129422861780771,6,0,0,3,0.107142857142857,0,0
1,40000001,4.1e+07,154,0.0033781560532608,8,3,0,4,0.0533333333333333,0.02,0
1,41000001,4.2e+07,72,0.00157939763529076,3,0,0,4,0.0441176470588235,0,0
1,42000001,4.3e+07,51,0.00111873999166429,6,4,2,3,0.125,0.0833333333333333,0.0416666666666667
1,43000001,4.4e+07,58,0.00127229253953978,5,1,0,2,0.0892857142857143,0.0178571428571429,0
1,44000001,4.5e+07,107,0.00234716037466822,13,4,1,6,0.128712871287129,0.0396039603960396,0.0099009900990099
1,45000001,4.6e+07,103,0.00225941606159651,10,2,2,5,0.102040816326531,0.0204081632653061,0.0204081632653061
1,46000001,4.7e+07,79,0.00173295018316625,5,1,0,5,0.0675675675675676,0.0135135135135135,0
1,47000001,4.8e+07,122,0.00267620154868713,11,6,1,9,0.0973451327433628,0.0530973451327434,0.00884955752212389
1,48000001,4.9e+07,152,0.00333428389672494,7,6,3,6,0.0479452054794521,0.0410958904109589,0.0205479452054795
1,49000001,5e+07,121,0.0026542654704192,5,0,0,9,0.0446428571428571,0,0
1,50000001,5.1e+07,125,0.00274200978349091,6,0,0,14,0.0540540540540541,0,0
1,51000001,5.2e+07,173,0.00379494154035142,9,2,0,9,0.0548780487804878,0.0121951219512195,0
1,52000001,5.3e+07,98,0.00214973567025687,7,3,0,7,0.0769230769230769,0.032967032967033,0
1,53000001,5.4e+07,118,0.00258845723561542,8,1,0,4,0.0701754385964912,0.0087719298245614,0
1,54000001,5.5e+07,88,0.0019303748875776,6,4,1,1,0.0689655172413793,0.0459770114942529,0.0114942528735632
1,55000001,5.6e+07,160,0.00350977252286836,10,3,1,2,0.0632911392405063,0.0189873417721519,0.00632911392405063
1,56000001,5.7e+07,129,0.00282975409656262,8,4,1,2,0.062992125984252,0.031496062992126,0.0078740157480315
1,57000001,5.8e+07,182,0.00399236624476276,20,8,2,5,0.112994350282486,0.0451977401129944,0.0112994350282486
1,58000001,5.9e+07,222,0.00486980937547985,21,12,3,1,0.0950226244343891,0.0542986425339367,0.0135746606334842
1,59000001,6e+07,132,0.0028955623313664,9,4,0,5,0.0708661417322835,0.031496062992126,0
1,60000001,6.1e+07,198,0.0043433434970496,29,10,4,4,0.149484536082474,0.0515463917525773,0.0206185567010309
1,61000001,6.2e+07,200,0.00438721565358545,16,6,4,7,0.0829015544041451,0.0310880829015544,0.0207253886010363
1,62000001,6.3e+07,169,0.00370719722727971,9,0,0,4,0.0545454545454545,0,0
1,63000001,6.4e+07,143,0.0031368591923136,15,4,0,7,0.110294117647059,0.0294117647058824,0
1,64000001,6.5e+07,181,0.00397043016649483,22,9,3,2,0.122905027932961,0.0502793296089385,0.0167597765363128
2,1,1e+06,254,0.00557176388005352,15,4,2,11,0.0617283950617284,0.0164609053497942,0.00823045267489712
2,1000001,2e+06,210,0.00460657643626472,13,5,1,13,0.065989847715736,0.0253807106598985,0.0050761421319797
2,2000001,3e+06,213,0.00467238467106851,11,3,1,6,0.0531400966183575,0.0144927536231884,0.00483091787439614
2,3000001,4e+06,212,0.00465044859280058,19,3,1,19,0.0984455958549223,0.0155440414507772,0.00518134715025907
2,4000001,5e+06,218,0.00478206506240814,27,8,2,3,0.125581395348837,0.0372093023255814,0.00930232558139535
2,5000001,6e+06,197,0.00432140741878167,16,6,0,10,0.0855614973262032,0.0320855614973262,0
2,6000001,7e+06,223,0.00489174545374778,16,5,2,5,0.073394495412844,0.0229357798165138,0.00917431192660551
2,7000001,8e+06,97,0.00212779959198894,9,2,1,6,0.0989010989010989,0.021978021978022,0.010989010989011
2,8000001,9e+06,145,0.00318073134884945,22,9,3,5,0.157142857142857,0.0642857142857143,0.0214285714285714
2,9000001,1e+07,234,0.00513304231469498,16,8,1,8,0.0707964601769911,0.0353982300884956,0.00442477876106195
2,10000001,1.1e+07,133,0.00291749840963433,12,8,4,7,0.0952380952380952,0.0634920634920635,0.0317460317460317
2,11000001,1.2e+07,255,0.00559369995832145,29,14,4,9,0.117886178861789,0.0569105691056911,0.016260162601626
2,12000001,1.3e+07,194,0.00425559918397789,15,6,2,10,0.0815217391304348,0.0326086956521739,0.0108695652173913
2,13000001,1.4e+07,94,0.00206199135718516,5,0,0,4,0.0555555555555556,0,0
2,14000001,1.5e+07,159,0.00348783644460043,9,5,0,8,0.0596026490066225,0.033112582781457,0
2,15000001,1.6e+07,48,0.00105293175686051,3,1,0,4,0.0681818181818182,0.0227272727272727,0
2,16000001,1.7e+07,129,0.00282975409656262,11,5,0,7,0.0901639344262295,0.040983606557377,0
2,17000001,1.8e+07,114,0.00250071292254371,5,2,0,5,0.0458715596330275,0.018348623853211,0
2,18000001,1.9e+07,120,0.00263232939215127,9,3,1,6,0.0789473684210526,0.0263157894736842,0.0087719298245614
